dataset,evaluation_mode,num_agents,num_scenes,num_frames,scenario,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,requires_training,uses_temporal_memory,uses_inter_agent_consistency,runtime_ms_per_frame,feature_mode,seed,setting
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_geometric,26084,565,11691,0.9787984539757589,0.6905095962938451,0.8097603377623246,0.8097603377623246,550,91.66666666666666,5426,False,False,True,2.7179821700369647e-05,c_geometric,33,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_k_temporal,32101,1319,5674,0.9605326152004787,0.8497948378557247,0.9017768101692534,0.9017768101692534,1248,208.0,3982,False,True,True,2.7179821700369647e-05,c_k_temporal,33,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_k_geometric,26072,554,11703,0.9791932697363479,0.6901919258769027,0.8096768683716091,0.8096768683716091,539,89.83333333333333,5424,False,False,True,2.7179821700369647e-05,c_k_geometric,33,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_temporal_geometric,32097,579,5678,0.9822805728975395,0.8496889477167439,0.9111864984173398,0.9111864984173398,555,92.5,3983,False,True,True,2.7179821700369647e-05,c_temporal_geometric,33,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,full,32097,579,5678,0.9822805728975395,0.8496889477167439,0.9111864984173398,0.9111864984173398,555,92.5,3983,False,False,True,2.7179821700369647e-05,full,33,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_only,27231,2001,10544,0.9315476190476191,0.7208735936465916,0.8127807542495561,0.8127807542495561,1907,317.8333333333333,5397,False,False,True,2.7179821700369647e-05,c_only,44,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_k,27217,1527,10558,0.9468758697467298,0.7205029781601588,0.8183225845247224,0.8183225845247224,1445,240.83333333333331,5394,False,False,True,2.7179821700369647e-05,c_k,44,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_temporal,32100,1317,5675,0.9605889218062663,0.8497683653209794,0.9017867176087201,0.9017867176087201,1246,207.66666666666666,3982,False,True,True,2.7179821700369647e-05,c_temporal,44,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_geometric,26093,562,11682,0.9789157756518477,0.690747849106552,0.8099643023436287,0.8099643023436287,546,91.0,5403,False,False,True,2.7179821700369647e-05,c_geometric,44,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_k_temporal,32100,1317,5675,0.9605889218062663,0.8497683653209794,0.9017867176087201,0.9017867176087201,1246,207.66666666666666,3982,False,True,True,2.7179821700369647e-05,c_k_temporal,44,controlled_multiagent
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,c_k_geometric,26081,551,11694,0.9793106037849204,0.6904301786896095,0.8098809135652956,0.8098809135652956,536,89.33333333333333,5401,False,False,True,2.7179821700369647e-05,c_k_geometric,44,controlled_multiagent
