method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,detector,threshold,false_new_per_100_frames,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack,notes
confidence_threshold_0.1,47013,47071,67119,0.4996917648059181,0.4119177794133109,0.4515791293656587,0.4515791293656587,11682,410.4708362614195,3876,yolov8s,0.1,410.4708362614195,-0.0024079080800099018,4844.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.2,37429,20361,76703,0.6476726077175982,0.32794483580415656,0.43541838740824323,0.43541838740824323,4581,160.96275474349966,3173,yolov8s,0.2,160.96275474349966,-0.01856865003742536,-2257.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.3,30114,10416,84018,0.7430051813471502,0.26385238145305434,0.3894169220623036,0.3894169220623036,2013,70.7308503162333,2557,yolov8s,0.3,70.7308503162333,-0.06457011538336499,-4825.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.4,24112,5642,90020,0.8103784365127378,0.21126415028212947,0.33515421931251127,0.33515421931251127,933,32.78285312719606,2041,yolov8s,0.4,32.78285312719606,-0.11883281813315733,-5905.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.5,18829,3235,95303,0.8533810732414794,0.1649756422388112,0.2764985755822491,0.2764985755822491,418,14.687280393534785,1578,yolov8s,0.5,14.687280393534785,-0.1774884618634195,-6420.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.6,14040,1919,100092,0.8797543705745974,0.12301545578803491,0.21584890576596383,0.21584890576596383,192,6.7463106113843985,1217,yolov8s,0.6,6.7463106113843985,-0.23813813167970477,-6646.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.7,9224,932,104908,0.9082315872390705,0.08081870115305086,0.1484294541709578,0.1484294541709578,86,3.021784961349262,894,yolov8s,0.7,3.021784961349262,-0.30555758327471083,-6752.0,fixed detector confidence threshold; no temporal/geometric trust rule
