method,agent_count,TP,FP,FN,F1,precision,recall,false_new_tracks,false_new_per_100_frames,map_extra_entries,extra_messages_due_to_false_tracks,runtime_ms_per_frame
S2_tnorm_temporal,3,32118.8,587.8,5656.2,0.911409502825634,0.9820280959293782,0.8502660489741892,562.4,93.73333333333333,562.4,1124.8,2.9897803870406613e-05
S2_v9_selected,3,30483.6,125.0,7291.4,0.8915470938496604,0.99591618037873,0.8069781601588353,122.0,20.333333333333332,122.0,244.0,2.717982170036965e-05
bayesian_existence_filter,3,32035.0,149.0,5740.0,0.9158221243871412,0.9953703703703705,0.8480476505625415,99.0,16.5,99.0,198.0,2.717982170036965e-05
iou_fusion_only,3,29797.8,316.2,7977.2,0.8778388251304362,0.9894999005944685,0.7888232958305758,306.2,51.03333333333334,306.2,612.4,2.717982170036965e-05
max_confidence_fusion,3,29829.0,353.0,7946.0,0.8778786585635034,0.9883042873235703,0.7896492389146261,342.0,56.999999999999986,342.0,684.0,2.717982170036965e-05
mean_confidence_fusion,3,29812.6,341.0,7962.4,0.8777628268946159,0.988691234186297,0.7892150893448047,330.0,55.000000000000014,330.0,660.0,2.717982170036965e-05
naive_union,3,32134.8,4165.2,5640.2,0.8676287549032136,0.8852561993051005,0.8506896095301124,4016.2,669.3666666666667,4016.2,8032.4,2.717982170036965e-05
