dataset,evaluation_mode,num_agents,num_scenes,num_frames,scenario,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,requires_training,uses_temporal_memory,uses_inter_agent_consistency,runtime_ms_per_frame,method,seed,agent_count,false_new_per_100_frames,map_extra_entries,extra_messages_due_to_false_tracks,notes
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,iou_fusion_only,29798,317,7977,0.9894736842105263,0.7888285903375248,0.8778317867138018,0.8778317867138018,307,51.16666666666667,4502,False,False,True,2.7179821700369647e-05,iou_fusion_only,33,3,51.16666666666667,307,614,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,mean_confidence_fusion,29811,341,7964,0.9886906341204563,0.7891727332892124,0.8777363934812372,0.8777363934812372,330,55.00000000000001,4488,False,False,True,2.7179821700369647e-05,mean_confidence_fusion,33,3,55.00000000000001,330,660,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,max_confidence_fusion,29829,353,7946,0.9883042873235703,0.7896492389146261,0.8778786585635034,0.8778786585635034,342,56.99999999999999,4488,False,False,True,2.7179821700369647e-05,max_confidence_fusion,33,3,56.99999999999999,342,684,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,bayesian_existence_filter,32035,149,5740,0.9953703703703703,0.8480476505625414,0.9158221243871411,0.9158221243871411,99,16.5,3965,False,True,True,2.7179821700369647e-05,bayesian_existence_filter,33,3,16.5,99,198,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,S2_tnorm_temporal,32120,588,5655,0.9820227467286291,0.8502978160158835,0.9114254501085369,0.9114254501085369,562,93.66666666666667,3979,False,True,True,2.9897803870406613e-05,S2_tnorm_temporal,33,3,93.66666666666667,562,1124,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,S2_v9_selected,30485,125,7290,0.9959163672002613,0.8070152217074785,0.8915697886963515,0.8915697886963515,122,20.333333333333332,4507,False,False,True,2.7179821700369647e-05,S2_v9_selected,33,3,20.333333333333332,122,244,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,naive_union,32135,4163,5640,0.8853104854261943,0.8506949040370615,0.8676575810349249,0.8676575810349249,4014,669.0,4003,False,False,True,2.7179821700369647e-05,naive_union,44,3,669.0,4014,8028,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,iou_fusion_only,29798,316,7977,0.9895065418077971,0.7888285903375248,0.8778447171117559,0.8778447171117559,306,51.0,4499,False,False,True,2.7179821700369647e-05,iou_fusion_only,44,3,51.0,306,612,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,mean_confidence_fusion,29813,341,7962,0.9886913842276315,0.7892256783587028,0.8777694357343697,0.8777694357343697,330,55.00000000000001,4486,False,False,True,2.7179821700369647e-05,mean_confidence_fusion,44,3,55.00000000000001,330,660,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
custom_uav_swarm_v8,controlled_geometric_multi_uav_simulation,3,2,600,max_confidence_fusion,29829,353,7946,0.9883042873235703,0.7896492389146261,0.8778786585635034,0.8778786585635034,342,56.99999999999999,4488,False,False,True,2.7179821700369647e-05,max_confidence_fusion,44,3,56.99999999999999,342,684,controlled replay from custom_uav_swarm_v8; not cooperative perception SOTA
