method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,detector,threshold,false_new_per_100_frames,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack,notes,sequence_id
confidence_threshold_0.1,9985,7567,13112,0.5688810391978122,0.4323072260466727,0.4912789982533395,0.4912789982533395,1555,335.12931034482756,763,yolov8n,0.1,335.12931034482756,0.10408841372111927,-4489.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.1,4663,5657,12616,0.45184108527131783,0.2698651542334626,0.3379107938693431,0.3379107938693431,1449,415.1862464183381,560,yolov8n,0.1,415.1862464183381,-0.04927979066287713,-4595.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.1,10151,7165,13937,0.5862208362208362,0.4214131517768183,0.4903390976717225,0.4903390976717225,2390,1025.7510729613734,996,yolov8n,0.1,1025.7510729613734,0.1031485131395023,-3654.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.1,4014,7402,13657,0.35161177295024526,0.22715183068304,0.2759995874445629,0.2759995874445629,2163,595.8677685950414,545,yolov8n,0.1,595.8677685950414,-0.11119099708765734,-3881.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.1,2162,2435,11416,0.4703067217750707,0.15922816320518485,0.2379092159559835,0.2379092159559835,622,63.59918200408998,62,yolov8n,0.1,63.59918200408998,-0.14928136857623672,-5422.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.1,1004,2127,5387,0.3206643244969658,0.1570959161320607,0.21088006721277042,0.21088006721277042,549,298.3695652173913,129,yolov8n,0.1,298.3695652173913,-0.1763105173194498,-5495.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.1,4335,3905,7693,0.5260922330097088,0.3604090455603592,0.4277679100059207,0.4277679100059207,1246,453.0909090909091,424,yolov8n,0.1,453.0909090909091,0.040577325473700465,-4798.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
confidence_threshold_0.2,8051,2757,15046,0.7449111769059955,0.348573407801879,0.47491520424716116,0.47491520424716116,569,122.62931034482759,564,yolov8n,0.2,122.62931034482759,0.08772461971494094,-5475.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.2,3375,2010,13904,0.6267409470752089,0.19532380346084843,0.2978291563713378,0.2978291563713378,539,154.44126074498567,372,yolov8n,0.2,154.44126074498567,-0.08936142816088244,-5505.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.2,7536,2226,16552,0.7719729563614014,0.3128528727997343,0.44525849335302803,0.44525849335302803,860,369.09871244635195,797,yolov8n,0.2,369.09871244635195,0.05806790882080781,-5184.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.2,2412,2871,15259,0.4565587734241908,0.13649482202478638,0.21015944933344954,0.21015944933344954,789,217.35537190082647,306,yolov8n,0.2,217.35537190082647,-0.17703113519877067,-5255.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.2,2017,940,11561,0.6821102468718295,0.14854912358226544,0.24396734200181433,0.24396734200181433,258,26.380368098159508,59,yolov8n,0.2,26.380368098159508,-0.1432232425304059,-5786.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.2,602,699,5789,0.46272098385857036,0.09419496166484119,0.15652626105044204,0.15652626105044204,174,94.56521739130434,90,yolov8n,0.2,94.56521739130434,-0.23066432348177818,-5870.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.2,3357,1342,8671,0.7144073207065333,0.27909876953774526,0.40138697913552934,0.40138697913552934,556,202.1818181818182,334,yolov8n,0.2,202.1818181818182,0.014196394603309126,-5488.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
confidence_threshold_0.3,6618,1261,16479,0.839954308922452,0.2865307182751007,0.42729855371900827,0.42729855371900827,255,54.956896551724135,548,yolov8n,0.3,54.956896551724135,0.04010796918678805,-5789.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.3,2543,851,14736,0.7492634060106069,0.1471728688002778,0.24602138054467182,0.24602138054467182,223,63.89684813753582,297,yolov8n,0.3,63.89684813753582,-0.1411692039875484,-5821.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.3,5593,830,18495,0.870776895531683,0.23219030222517437,0.36662187407820135,0.36662187407820135,342,146.78111587982832,593,yolov8n,0.3,146.78111587982832,-0.020568710454018868,-5702.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.3,1637,1236,16034,0.5697876783849635,0.09263765491483221,0.1593652647975078,0.1593652647975078,349,96.14325068870524,193,yolov8n,0.3,96.14325068870524,-0.22782531973471243,-5695.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.3,1760,313,11818,0.8490110950313555,0.12962144645750479,0.22490575682065042,0.22490575682065042,122,12.474437627811861,143,yolov8n,0.3,12.474437627811861,-0.1622848277115698,-5922.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.3,369,262,6022,0.5847860538827259,0.05773744327961195,0.10509826260324694,0.10509826260324694,64,34.78260869565217,66,yolov8n,0.3,34.78260869565217,-0.28209232192897327,-5980.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.3,2709,454,9319,0.856465380967436,0.22522447622214833,0.3566585478243697,0.3566585478243697,218,79.27272727272727,237,yolov8n,0.3,79.27272727272727,-0.03053203670785054,-5826.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
confidence_threshold_0.4,5283,734,17814,0.8780122984876184,0.22873100402649696,0.36291818369169476,0.36291818369169476,131,28.23275862068966,505,yolov8n,0.4,28.23275862068966,-0.024272400840525454,-5913.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.4,1911,358,15368,0.8422212428382547,0.11059667804849818,0.19551872314303256,0.19551872314303256,90,25.787965616045845,204,yolov8n,0.4,25.787965616045845,-0.19167186138918765,-5954.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.4,4178,343,19910,0.9241318292413183,0.17344735968116903,0.29207592016498307,0.29207592016498307,122,52.36051502145923,424,yolov8n,0.4,52.36051502145923,-0.09511466436723715,-5922.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.4,1213,476,16458,0.7181764357608053,0.0686435402637089,0.1253099173553719,0.1253099173553719,146,40.22038567493113,126,yolov8n,0.4,40.22038567493113,-0.2618806671768483,-5898.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.4,1327,98,12251,0.9312280701754386,0.09773162468699366,0.1768979537425848,0.1768979537425848,54,5.521472392638037,180,yolov8n,0.4,5.521472392638037,-0.21029263078963542,-5990.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.4,193,78,6198,0.7121771217712177,0.030198716945704897,0.057940558390873614,0.057940558390873614,29,15.760869565217392,46,yolov8n,0.4,15.760869565217392,-0.3292500261413466,-6015.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
confidence_threshold_0.4,2215,123,9813,0.9473909324208726,0.1841536415031593,0.3083669775859669,0.3083669775859669,74,26.90909090909091,178,yolov8n,0.4,26.90909090909091,-0.07882360694625334,-5970.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000339_00001_v
confidence_threshold_0.5,3851,419,19246,0.9018735362997659,0.1667316101658224,0.2814338436803449,0.2814338436803449,67,14.439655172413794,414,yolov8n,0.5,14.439655172413794,-0.10575674085187531,-5977.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000086_00000_v
confidence_threshold_0.5,1380,143,15899,0.9061063690085358,0.07986573297065802,0.14679289437293905,0.14679289437293905,47,13.46704871060172,157,yolov8n,0.5,13.46704871060172,-0.24039769015928117,-5997.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000117_02622_v
confidence_threshold_0.5,3066,167,21022,0.9483451902257964,0.1272832945865161,0.22444273635664871,0.22444273635664871,48,20.600858369098713,278,yolov8n,0.5,20.600858369098713,-0.1627478481755715,-5996.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000137_00458_v
confidence_threshold_0.5,858,153,16813,0.8486646884272997,0.04855412823269764,0.09185312065089392,0.09185312065089392,60,16.528925619834713,125,yolov8n,0.5,16.528925619834713,-0.2953374638813263,-5984.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000182_00000_v
confidence_threshold_0.5,916,42,12662,0.9561586638830898,0.06746207099720135,0.12603192074848651,0.12603192074848651,26,2.658486707566462,157,yolov8n,0.5,2.658486707566462,-0.2611586637837337,-6018.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000268_05773_v
confidence_threshold_0.5,90,14,6301,0.8653846153846154,0.014082303238929745,0.027713625866050806,0.027713625866050806,10,5.434782608695652,21,yolov8n,0.5,5.434782608695652,-0.3594769586661694,-6034.0,fixed detector confidence threshold; no temporal/geometric trust rule,uav0000305_00000_v
