method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,detector,threshold,false_new_per_100_frames,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack,notes
confidence_threshold_0.1,36314,36258,77818,0.5003858237336714,0.31817544597483616,0.3890007712743166,0.3890007712743166,9974,350.4567814476458,3479,yolov8n,0.1,350.4567814476458,0.0018101867420963758,3930.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.2,27350,12845,86782,0.6804328896628934,0.23963480881786003,0.35444219093224133,0.35444219093224133,3745,131.58819395643008,2522,yolov8n,0.2,131.58819395643008,-0.03274839359997889,-2299.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.3,21229,5207,92903,0.8030337418671508,0.18600392527950094,0.30204598486141937,0.30204598486141937,1573,55.27055516514407,2077,yolov8n,0.3,55.27055516514407,-0.08514459967080085,-4471.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.4,16320,2210,97812,0.8807339449541285,0.14299232467669015,0.24603880538511408,0.24603880538511408,646,22.69852424455376,1663,yolov8n,0.4,22.69852424455376,-0.14115177914710614,-5398.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.5,11927,972,102205,0.9246453213427398,0.10450180492762766,0.1877809353622344,0.1877809353622344,280,9.838369641602249,1333,yolov8n,0.5,9.838369641602249,-0.19940964916998583,-5764.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.6,7897,378,106235,0.9543202416918429,0.06919181298846949,0.12902856862761117,0.12902856862761117,97,3.408292340126493,1048,yolov8n,0.6,3.408292340126493,-0.2581620159046091,-5947.0,fixed detector confidence threshold; no temporal/geometric trust rule
confidence_threshold_0.7,4215,129,109917,0.9703038674033149,0.036930922090211336,0.07115365137242986,0.07115365137242986,34,1.1946591707659873,679,yolov8n,0.7,1.1946591707659873,-0.31603693315979037,-6010.0,fixed detector confidence threshold; no temporal/geometric trust rule
