method,repeat,n_rows,n_frames,accepted,runtime_ms_total,runtime_ms_per_frame
current_loop_python,0,51627,1000,41629,113.89009899721714,0.11389009899721714
vectorized_numpy,0,51627,1000,41629,0.6033869976818096,0.0006033869976818096
cached_features_vectorized,0,51627,1000,41629,0.2203209987783339,0.0002203209987783339
current_loop_python,1,51627,1000,41629,107.60724200008553,0.10760724200008553
vectorized_numpy,1,51627,1000,41629,0.45133300227462314,0.00045133300227462314
cached_features_vectorized,1,51627,1000,41629,0.29500099844881333,0.00029500099844881333
current_loop_python,2,51627,1000,41629,110.8736050009611,0.1108736050009611
vectorized_numpy,2,51627,1000,41629,0.31370600117952563,0.00031370600117952563
cached_features_vectorized,2,51627,1000,41629,0.20451200180104934,0.00020451200180104934
current_loop_python,3,51627,1000,41629,111.49695999847609,0.11149695999847609
vectorized_numpy,3,51627,1000,41629,0.3797690005740151,0.0003797690005740151
cached_features_vectorized,3,51627,1000,41629,0.2647950022947043,0.0002647950022947043
current_loop_python,4,51627,1000,41629,114.53051699936623,0.11453051699936623
vectorized_numpy,4,51627,1000,41629,0.5145009999978356,0.0005145009999978356
cached_features_vectorized,4,51627,1000,41629,0.2804340001603123,0.0002804340001603123
current_loop_python,5,51627,1000,41629,107.33456299931277,0.10733456299931277
vectorized_numpy,5,51627,1000,41629,0.33579699811525643,0.00033579699811525643
cached_features_vectorized,5,51627,1000,41629,0.20424100148375146,0.00020424100148375146
current_loop_python,6,51627,1000,41629,109.54452299847617,0.10954452299847617
vectorized_numpy,6,51627,1000,41629,0.3540819998306688,0.0003540819998306688
cached_features_vectorized,6,51627,1000,41629,0.24428700271528214,0.00024428700271528214
current_loop_python,7,51627,1000,41629,112.10623799706809,0.11210623799706809
vectorized_numpy,7,51627,1000,41629,0.315258999762591,0.000315258999762591
cached_features_vectorized,7,51627,1000,41629,0.22267600070335902,0.00022267600070335902
current_loop_python,8,51627,1000,41629,109.30079700119677,0.10930079700119677
vectorized_numpy,8,51627,1000,41629,0.30619199969805777,0.00030619199969805777
cached_features_vectorized,8,51627,1000,41629,0.2012959994317498,0.0002012959994317498
current_loop_python,9,51627,1000,41629,108.60765199686284,0.10860765199686284
vectorized_numpy,9,51627,1000,41629,0.3062819996557664,0.0003062819996557664
cached_features_vectorized,9,51627,1000,41629,0.20095500076422468,0.00020095500076422468
