index,method,mean,std,min
0,cached_features_vectorized,0.00023385180065815803,3.521865799072737e-05,0.00020095500076422468
1,current_loop_python,0.11052921959890227,0.002489151047405258,0.10733456299931277
2,vectorized_numpy,0.0003880307998770149,0.00010248560160355502,0.00030619199969805777
