method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,tracklet_persistence_bin,diagnostic_scope,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack
bytetrack,22283,8579,67,0.7220206078672802,0.9970022371364653,0.8375178531158386,0.8375178531158386,255,8.959943780744906,621,long_tracklet,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,22190,8432,160,0.7246424139507543,0.992841163310962,0.8378011024692289,0.8378011024692289,254,8.924806746310612,614,long_tracklet,candidate-level bin; absent GT objects outside detector candidates are not counted,0.00028324935339030244,-1.0
geometry_dynamic_adaptive_balanced,22192,8431,158,0.724684060999902,0.9929306487695749,0.8378607970097974,0.8378607970097974,254,8.924806746310612,615,long_tracklet,candidate-level bin; absent GT objects outside detector candidates are not counted,0.00034294389395883584,-1.0
bytetrack,15338,13532,365,0.5312781434014548,0.9767560338788767,0.6882193256007,0.6882193256007,1177,41.35628952916374,1685,medium_tracklet,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,14865,12722,838,0.5388407583281981,0.9466344010698593,0.6867636867636867,0.6867636867636867,1152,40.4778636683064,1668,medium_tracklet,candidate-level bin; absent GT objects outside detector candidates are not counted,-0.0014556388370132733,-25.0
geometry_dynamic_adaptive_balanced,14874,12720,829,0.5390302239617308,0.9472075399605171,0.6870683881100307,0.6870683881100307,1152,40.4778636683064,1671,medium_tracklet,candidate-level bin; absent GT objects outside detector candidates are not counted,-0.0011509374906693015,-25.0
bytetrack,6613,14392,2347,0.31482980242799335,0.7380580357142857,0.4413816118805273,0.4413816118805273,5406,189.950808151792,2012,short_tracklet,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,5074,9498,3886,0.34820203129289046,0.5662946428571428,0.43124256331803495,0.43124256331803495,3393,119.21995783555867,1595,short_tracklet,candidate-level bin; absent GT objects outside detector candidates are not counted,-0.01013904856249237,-2013.0
geometry_dynamic_adaptive_balanced,5090,9497,3870,0.34894083773222734,0.5680803571428571,0.43232683569032154,0.43232683569032154,3397,119.36050597329586,1593,short_tracklet,candidate-level bin; absent GT objects outside detector candidates are not counted,-0.009054776190205782,-2009.0
