method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,density_bin,diagnostic_scope,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack
bytetrack,16626,9446,1255,0.6376956121509666,0.9298137688048767,0.7565353900757629,0.7565353900757629,2592,91.07519325368939,2159,high_density,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,15715,7582,2166,0.6745503712924411,0.8788658352441139,0.7632716499101462,0.7632716499101462,1852,65.07378777231202,2093,high_density,candidate-level bin; absent GT objects outside detector candidates are not counted,0.006736259834383307,-740.0
geometry_dynamic_adaptive_balanced,15730,7584,2151,0.6747018958565669,0.8797047145014261,0.7636849132176236,0.7636849132176236,1852,65.07378777231202,2094,high_density,candidate-level bin; absent GT objects outside detector candidates are not counted,0.007149523141860681,-740.0
bytetrack,12066,14927,675,0.44700477901678215,0.9470214268895691,0.6073388030402175,0.6073388030402175,2644,92.90231904427266,2544,low_density,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,11531,13003,1210,0.4700008151952393,0.9050310022761164,0.6186988598256203,0.6186988598256203,1879,66.02248770203795,2468,low_density,candidate-level bin; absent GT objects outside detector candidates are not counted,0.011360056785402861,-765.0
geometry_dynamic_adaptive_balanced,11529,12999,1212,0.4700342465753425,0.9048740287261596,0.6186911374064236,0.6186911374064236,1882,66.12789880534083,2476,low_density,candidate-level bin; absent GT objects outside detector candidates are not counted,0.011352334366206085,-762.0
bytetrack,15542,12130,849,0.561650766117375,0.948203282289061,0.7054444772257904,0.7054444772257904,3055,107.34364019676738,3872,medium_density,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,14883,10067,1508,0.5965130260521042,0.9079982917454701,0.720011610749619,0.720011610749619,2236,78.56640899508082,3723,medium_density,candidate-level bin; absent GT objects outside detector candidates are not counted,0.014567133523828546,-819.0
geometry_dynamic_adaptive_balanced,14897,10065,1494,0.5967871164169538,0.9088524190104326,0.7204797717215197,0.7204797717215197,2238,78.63668306394939,3720,medium_density,candidate-level bin; absent GT objects outside detector candidates are not counted,0.015035294495729268,-817.0
