method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,confidence_bin,diagnostic_scope,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack
bytetrack,18829,3235,0,0.8533810732414794,1.0,0.9208911060572715,0.9208911060572715,418,14.687280393534785,1578,high_confidence,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,18669,3176,160,0.8546120393682765,0.9915024695947741,0.9179820032453164,0.9179820032453164,371,13.035839775122978,1587,high_confidence,candidate-level bin; absent GT objects outside detector candidates are not counted,-0.002909102811955111,-47.0
geometry_dynamic_adaptive_balanced,18710,3179,119,0.8547672346840879,0.9936799617611132,0.9190038803477577,0.9190038803477577,373,13.106113843991569,1579,high_confidence,candidate-level bin; absent GT objects outside detector candidates are not counted,-0.001887225709513829,-45.0
bytetrack,14476,26661,2423,0.3518973187155116,0.8566187348363808,0.4988627748294163,0.4988627748294163,6526,229.304286718201,4567,low_confidence,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,12902,21237,3997,0.37792553970532233,0.7634771288241908,0.5055840746110741,0.5055840746110741,4508,158.3977512297962,4145,low_confidence,candidate-level bin; absent GT objects outside detector candidates are not counted,0.006721299781657808,-2018.0
geometry_dynamic_adaptive_balanced,12902,21237,3997,0.37792553970532233,0.7634771288241908,0.5055840746110741,0.5055840746110741,4508,158.3977512297962,4145,low_confidence,candidate-level bin; absent GT objects outside detector candidates are not counted,0.006721299781657808,-2018.0
bytetrack,10929,6607,356,0.6232322080291971,0.9684536996012406,0.758405329447278,0.758405329447278,1457,51.19465917076599,3668,medium_confidence,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,10558,6239,727,0.6285646246353516,0.9355782011519717,0.751940744961185,0.751940744961185,1277,44.86999297259312,3600,medium_confidence,candidate-level bin; absent GT objects outside detector candidates are not counted,-0.006464584486092995,-180.0
geometry_dynamic_adaptive_balanced,10544,6232,741,0.6285169289461134,0.9343376163048294,0.7515056484088235,0.7515056484088235,1274,44.76458186929023,3596,medium_confidence,candidate-level bin; absent GT objects outside detector candidates are not counted,-0.006899681038454508,-183.0
