method,TP,FP,FN,precision,recall,F1,IDF1,false_new_tracks,false_new_tracks_per_100_frames,track_breaks,size_bin,diagnostic_scope,F1_delta_vs_bytetrack,false_new_delta_vs_bytetrack
bytetrack,16161,11621,752,0.5817075804477719,0.9555371607639094,0.7231681396129321,0.7231681396129321,2269,79.72593113141251,1355,large,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,15584,9967,1329,0.6099174200618371,0.9214213918287708,0.7339864355689525,0.7339864355689525,1613,56.6760365425158,1324,large,candidate-level bin; absent GT objects outside detector candidates are not counted,0.010818295956020352,-656.0
geometry_dynamic_adaptive_balanced,15595,9962,1318,0.61020464060727,0.9220717791048306,0.7344007534730398,0.7344007534730398,1610,56.57062543921293,1328,large,candidate-level bin; absent GT objects outside detector candidates are not counted,0.011232613860107654,-659.0
bytetrack,16131,11044,1043,0.5935970561177553,0.9392686619308257,0.7274572143678549,0.7274572143678549,2712,95.29163738580463,2529,medium,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,15323,9262,1851,0.6232662192393736,0.892220798882031,0.7338777269570631,0.7338777269570631,1962,68.93886156008433,2408,medium,candidate-level bin; absent GT objects outside detector candidates are not counted,0.006420512589208172,-750.0
geometry_dynamic_adaptive_balanced,15335,9260,1839,0.623500711526733,0.8929195295213695,0.7342766166295578,0.7342766166295578,1966,69.0794096978215,2409,medium,candidate-level bin; absent GT objects outside detector candidates are not counted,0.006819402261702856,-746.0
bytetrack,11942,13838,984,0.46322730799069045,0.9238743617515086,0.6170619542189842,0.6170619542189842,3063,107.62473647224174,1782,small,candidate-level bin; absent GT objects outside detector candidates are not counted,0.0,0.0
geometry_dynamic_no_multiagent,11222,11423,1704,0.49556193420181055,0.8681726752282222,0.6309634252621518,0.6309634252621518,2153,75.65003513703444,1652,small,candidate-level bin; absent GT objects outside detector candidates are not counted,0.013901471043167524,-910.0
geometry_dynamic_adaptive_balanced,11226,11426,1700,0.49558537877450115,0.8684821290422404,0.6310641407611446,0.6310641407611446,2156,75.75544624033732,1653,small,candidate-level bin; absent GT objects outside detector candidates are not counted,0.014002186542160344,-907.0
